universe,name,etf
sector,industrials,XLI
sector,financials,XLF
sector,cyclicals,XLY
sector,staples,XLP
sector,utilities,XLU
sector,materials,XLB
sector,realestate,IYR
sector,energy,XLE
sector,technology,XLK
sector,communications,XLC
sector,healthcare,XLV
sector,market,SPY
style,put write,PUTW
style,russell 1k growth,IWF
style,russell 1k value,IWD
style,hy credit,HYG
style,treasury 7-10y,IEF
style,total US equity,VTI
style,total world equity,VT
style,russell 2k,IWM
style,real estate,IYR
style,dollar,UUP
style,em equity,EEM
style,inflation bond,TIP
style,em bond,EMB
style,commodity,GSG
style,low vol,USMV
style,momentum,MTUM
style,quality,QUAL
style,treasury 3-7y,IEI
style,municipals,MUB
style,developed non-US,EFA
asset,US Cash,BIL
asset,US Mid Treasuries,IEF
asset,US Long Treasuries,TLT
asset,US Inflation-Linked,TIP
asset,US IG Corp Bonds,LQD
asset,US Agg Bonds,AGG
asset,US HY Bonds,HYG
asset,EM Sovereign Debt,EMB
asset,US Muni 1-15 Yr Blend,MUB
asset,US Muni High Yield,HYD
asset,US Large Cap,VV
asset,US Mid Cap,VO
asset,US Small Cap,VB
asset,EAFE Equity,VEA
asset,EM Equity,VWO
asset,US Equity Value,VTV
asset,US Equity Dividend,VYM
asset,US REITs,IYR
asset,Commodities,GSG
